Gender,Incurred_Age_Bucket,Incurred_Year_Bucket,Claim_Type,Region,Diagnosis_Category,Claim_Duration,Exposure,Deaths,Recovery,Terminations,Benefit_Expiry,Others_Terminations
Female,Unknown,2001-2002,NH,Unknown,Unknown,108,31,1,0,1,0,0
Female,Unknown,2011-2012,NH,Unknown,Unknown, 72,19,0,0,0,0,0
Male,Unknown,2007-2008,NH,Unknown,Unknown,  5,49,1,3,4,0,0
Male,Unknown,Unknown,Other,Unknown,Unknown,263,4,0,0,0,0,0
Female,Unknown, < 2001,HCC,Unknown,Unknown, 62,46,1,0,1,0,0
Female,Unknown,2005-2006,HCC,Unknown,Unknown, 48,76,0,1,1,0,0
Male,Unknown,2007-2008,HCC,Unknown,Unknown, 44,77,1,0,1,0,0
Female,Unknown,2013-2014,Other,Unknown,Unknown, 25,55,2,1,3,0,0
Female,Unknown,2005-2006,ALF,Unknown,Unknown, 75,41,1,0,1,0,0
Female,Unknown,2013-2014,ALF,Unknown,Unknown, 32,50,1,1,3,1,1
Female,Unknown,2007-2008,Other,Unknown,Unknown, 54,27,0,0,0,0,0
Male,Unknown,2001-2002,HCC,Unknown,Unknown, 47,65,0,0,0,0,0
Female,Unknown,2007-2008,HCC,Unknown,Unknown, 18,68,2,1,3,0,0
Female,Unknown,2007-2008,NH,Unknown,Unknown, 10,43,1,0,1,0,0
Male,Unknown,2009-2010,Other,Unknown,Unknown, 89,10,0,0,0,0,0
Female,Unknown,2001-2002,NH,Unknown,Unknown, 26,51,3,0,3,1,0
Male,Unknown,2003-2004,NH,Unknown,Unknown, 49,57,2,0,2,0,0
Male,Unknown,2005-2006,Other,Unknown,Unknown, 22,24,1,0,1,0,0
Female,Unknown,Unknown,Other,Unknown,Unknown,182,17,0,0,0,0,0
Male,Unknown, < 2001,HCC,Unknown,Unknown, 11,64,2,0,2,0,0
Male,Unknown, < 2001,NH,Unknown,Unknown, 42,47,1,0,1,0,0
Female,Unknown,2005-2006,NH,Unknown,Unknown, 68,53,0,0,0,0,0
Female,Unknown, < 2001,HCC,Unknown,Unknown,109,40,2,0,2,0,0
Female,Unknown,2005-2006,HCC,Unknown,Unknown, 26,67,2,0,2,0,0
Female,Unknown,2011-2012,NH,Unknown,Unknown, 57,58,2,0,2,1,0
Female,Unknown,2005-2006,ALF,Unknown,Unknown, 67,42,0,0,0,0,0
Female,Unknown,2009-2010,Other,Unknown,Unknown, 41,36,0,0,0,0,0
Female,Unknown,2005-2006,Other,Unknown,Unknown, 70,21,0,0,0,0,0
Female,Unknown,2005-2006,Other,Unknown,Unknown,  5,54,1,2,3,0,0
Male,Unknown,2005-2006,ALF,Unknown,Unknown, 61,48,1,0,1,1,0
Female,Unknown,2001-2002,Other,Unknown,Unknown, 98,15,1,0,1,0,0
Male,Unknown,2011-2012,Other,Unknown,Unknown, 60,22,0,0,0,0,0
Male,Unknown, < 2001,Other,Unknown,Unknown, 36,43,0,0,0,0,0
Female,Unknown,2009-2010,HCC,Unknown,Unknown, 20,56,1,0,1,0,0
Female,Unknown,2005-2006,HCC,Unknown,Unknown, 82,71,1,0,1,0,0
Female,Unknown, < 2001,ALF,Unknown,Unknown, 50,31,1,0,1,0,0
